dates,coin,date,prices,market_caps,total_vol
2022-02-04,bitcoin,1644019200000.0,41673.8395543094,777355085535.6107,25347215343.882504
2022-02-05,bitcoin,1644105600000.0,41493.690050910525,786295053042.2418,16752051696.248552
2022-02-06,bitcoin,1644192000000.0,42475.543220951215,804942041477.0581,13206494654.908047
2022-02-07,bitcoin,1644278400000.0,43910.929986443094,833392518214.8341,24171856714.475758
2022-02-08,bitcoin,1644364800000.0,44184.447511676175,837406846076.2306,29024977264.932137
2022-02-09,bitcoin,1644451200000.0,44383.88805541707,841339973338.8694,19780565063.098923
2022-02-10,bitcoin,1644537600000.0,43628.13953235228,826942197610.3904,27877618433.98099
2022-02-11,bitcoin,1644624000000.0,42445.38876793804,803706779791.898,23279080009.72499
2022-02-12,bitcoin,1644710400000.0,42254.738123237206,799547462142.6093,15479727288.782782
2022-02-13,bitcoin,1644796800000.0,42247.83595326771,802059713029.3901,12146423251.39967
2022-02-14,bitcoin,1644883200000.0,42634.573783663065,808280617642.0496,18090873762.822777
2022-02-15,bitcoin,1644969600000.0,44574.32057099816,848321283143.9929,19801081788.555756
2022-02-16,bitcoin,1645056000000.0,44063.28198279571,836256083783.791,16847003857.433496
2022-02-17,bitcoin,1645142400000.0,40562.98694982819,770096677778.6456,22270664615.4777
2022-02-18,bitcoin,1645228800000.0,40073.495362369824,759881874201.3011,20130002755.177864
2022-02-19,bitcoin,1645315200000.0,40192.75912143141,761447243939.9269,11735183838.17719
2022-02-20,bitcoin,1645401600000.0,38514.00853622455,730381814665.4404,15998424231.017673
2022-02-21,bitcoin,1645488000000.0,37059.979402287514,703004241590.1829,25174914104.16337
2022-02-22,bitcoin,1645574400000.0,38337.2038554348,727094284067.6588,22212181617.200245
2022-02-23,bitcoin,1645660800000.0,37372.2926803477,708829287814.1068,18507851467.85067
2022-02-24,bitcoin,1645747200000.0,38363.345488570165,727657714638.0917,40839699480.89129
2022-02-25,bitcoin,1645833600000.0,39316.16207578596,745763194704.1796,22579249141.515377
2022-02-26,bitcoin,1645920000000.0,39090.202153609054,741083625917.93,14568201294.74542
2022-02-27,bitcoin,1646006400000.0,37803.59016044929,717619764688.0872,19424397945.619602
2022-02-28,bitcoin,1646092800000.0,43225.404677435734,819019441071.749,30634280854.538326
2022-03-01,bitcoin,1646179200000.0,44459.59162774341,841254375272.0455,27880763034.093914
2022-03-02,bitcoin,1646265600000.0,43980.707382090906,834437956671.6672,25615956856.40275
2022-03-03,bitcoin,1646352000000.0,42491.97839335905,807454920681.7217,22366184128.900482
2022-03-04,bitcoin,1646438400000.0,39200.29973557414,743810477766.2219,25121267305.979286
2022-03-05,bitcoin,1646524800000.0,39463.14681149058,748197160856.1006,14818212144.749968
2022-03-06,bitcoin,1646611200000.0,38442.99174588676,729501899968.2964,16995562040.606796
2022-03-07,bitcoin,1646697600000.0,38076.49382252028,723198804467.6718,24596395439.058964
2022-03-08,bitcoin,1646784000000.0,38732.93701302586,735453953725.9198,22556397749.428085
2022-03-09,bitcoin,1646870400000.0,41986.03444607623,796849504897.2562,29211702119.448605
2022-03-10,bitcoin,1646956800000.0,39468.35477300189,749384110700.1091,27653455219.04128
2022-03-11,bitcoin,1647043200000.0,38775.17558840679,738267961692.6816,23624165274.522385
2022-03-12,bitcoin,1647129600000.0,38903.69354800599,738456528057.6692,12440826653.84724
2022-03-13,bitcoin,1647216000000.0,37852.52514106289,718551088031.3688,14461647575.513742
2022-03-14,bitcoin,1647302400000.0,39669.423812004505,751354026218.9767,21250969229.221596
2022-03-15,bitcoin,1647388800000.0,39331.84654059453,747642430663.595,20768829817.938637
2022-03-16,bitcoin,1647475200000.0,41165.63506140341,779761001844.4108,34974203468.766266
2022-03-17,bitcoin,1647561600000.0,41001.70957801974,778474325709.8895,18861644942.593346
2022-03-18,bitcoin,1647648000000.0,41837.41313797566,794378970588.3145,30316128166.48974
2022-03-19,bitcoin,1647734400000.0,42201.939920688186,800887993391.0255,16580741571.959858
2022-03-20,bitcoin,1647820800000.0,41283.25900104565,784054464871.6631,16856192301.960054
2022-03-21,bitcoin,1647907200000.0,41061.81589384987,779205413378.8728,21335882483.315796
2022-03-22,bitcoin,1647993600000.0,42401.895597489434,803937099701.4115,28688623151.357098
2022-03-23,bitcoin,1648080000000.0,42802.15471016985,810894331277.664,21851891598.642384
2022-03-24,bitcoin,1648166400000.0,43936.09623454058,834251096724.507,26212783703.864426
2022-03-25,bitcoin,1648252800000.0,44331.77795706412,842031938721.7855,26147756108.07925
2022-03-26,bitcoin,1648339200000.0,44510.84421762133,845235093872.7649,13676534294.229202
2022-03-27,bitcoin,1648425600000.0,46715.1176185105,887283025181.1342,22545392529.67392
2022-03-28,bitcoin,1648512000000.0,46994.879118357465,892747620147.7012,30051327357.066643
2022-03-29,bitcoin,1648598400000.0,47459.261237539096,901430001888.9999,26128040680.825665
2022-03-30,bitcoin,1648684800000.0,47063.36584996355,895356010540.8462,24497248306.346912
2022-03-31,bitcoin,1648771200000.0,45528.40715313835,865010142444.9791,27736469645.537262
2022-04-01,bitcoin,1648857600000.0,46270.20070585378,879144224206.3806,32948605532.135277
2022-04-02,bitcoin,1648944000000.0,45842.14476317382,871050305858.7916,24803837259.76474
2022-04-03,bitcoin,1649030400000.0,46434.562982661664,882346640419.069,21510196790.30345
2022-04-04,bitcoin,1649116800000.0,46622.63571309101,885584977681.2438,28019309650.72574
2022-04-05,bitcoin,1649203200000.0,45635.45438126673,867247321783.443,25474063861.60569
2022-04-06,bitcoin,1649289600000.0,43198.77526936491,820983263462.4961,34113818641.77575
2022-04-07,bitcoin,1649376000000.0,43515.15032279806,827032889944.6309,22960138784.304127
